date,description,amount,category
2023-08-20,Water Utility,81.57,Utilities
2023-08-21,Whole Foods,37.1,Groceries
2023-08-21,Freelance Payment,4714.3,Income
2023-08-22,Lyft,286.95,Transport
2023-08-22,Movie Theater,44.2,Entertainment
2023-08-22,Walmart,417.85,Shopping
2023-08-22,City Parking,239.73,Transport
2023-08-23,Studio Rental,2448.75,Rent
2023-08-24,Doctor Visit,13.74,Healthcare
2023-08-24,Safeway,223.64,Groceries
2023-08-24,Whole Foods,279.86,Groceries
2023-08-24,Internet Subscription,35.14,Utilities
2023-08-25,Macy's,243.61,Shopping
2023-08-25,Micro Center,8.25,Electronics
2023-08-26,Postmates,303.66,Food Delivery
2023-08-27,Monthly Rent Payment,1554.3,Rent
2023-08-27,Amazon,59.15,Shopping
2023-08-27,Movie Theater,265.86,Entertainment
2023-08-27,Apartment Lease,1251.54,Rent
2023-08-27,Freelance Payment,6376.92,Income
2023-08-27,Stock Dividend,2432.54,Income
2023-08-27,Netflix,466.62,Subscription
2023-08-28,Internet Subscription,334.09,Utilities
2023-08-28,Netflix,450.14,Subscription
2023-08-29,Studio Rental,1418.79,Rent
2023-08-29,Safeway,473.12,Groceries
2023-08-29,Studio Rental,1478.99,Rent
2023-08-29,Lyft,469.36,Transport
2023-08-30,Sushi Place,97.12,Dining
2023-08-30,City Parking,88.25,Transport
2023-08-30,Stater Bros,46.06,Groceries
2023-08-30,Market Basket,160.83,Groceries
2023-08-30,City Parking,332.92,Transport
2023-08-31,UberEats,171.32,Food Delivery
2023-08-31,Insurance Premium,304.14,Healthcare
2023-09-01,Dental Care,294.02,Healthcare
2023-09-01,Freelance Payment,3002.06,Income
2023-09-01,Monthly Rent Payment,1782.94,Rent
2023-09-01,Studio Rental,1622.06,Rent
2023-09-01,Internet Subscription,359.81,Utilities
2023-09-01,Samsung Online,58.28,Electronics
2023-09-01,Dell Store,204.3,Electronics
2023-09-01,Water Utility,36.56,Utilities
2023-09-02,Insurance Premium,102.15,Healthcare
2023-09-02,Consulting Invoice,6958.0,Income
2023-09-02,Postmates,10.78,Food Delivery
2023-09-02,DoorDash,250.74,Food Delivery
2023-09-03,Lyft,125.73,Transport
2023-09-03,Cell Phone Bill,403.57,Utilities
2023-09-03,Sushi Place,86.62,Dining
2023-09-04,Local Bistro,365.15,Dining
2023-09-04,City Parking,108.8,Transport
2023-09-04,Postmates,294.3,Food Delivery
2023-09-05,Train Ticket,464.65,Transport
2023-09-05,GrubHub,478.35,Food Delivery
2023-09-06,Target,222.1,Shopping
2023-09-06,Walmart,132.35,Shopping
2023-09-07,DoorDash,403.73,Food Delivery
2023-09-07,Disney+ Amazon Prime,212.51,Subscription
2023-09-07,Postmates,369.06,Food Delivery
2023-09-07,Internet Subscription,423.27,Utilities
2023-09-07,Lyft,55.1,Transport
2023-09-08,Studio Rental,2291.67,Rent
2023-09-08,City Parking,151.15,Transport
2023-09-09,Insurance Premium,219.84,Healthcare
2023-09-09,Concert Venue,215.61,Entertainment
2023-09-10,Lyft,194.87,Transport
2023-09-10,City Parking,40.19,Transport
2023-09-10,Disney+ Amazon Prime,91.9,Subscription
2023-09-10,Pharmacy,445.97,Healthcare
2023-09-11,GrubHub,196.7,Food Delivery
2023-09-11,TechCorp Salary,5742.67,Income
2023-09-11,Uber,158.12,Transport
2023-09-11,Safeway,176.08,Groceries
2023-09-11,TechCorp Salary,7422.7,Income
2023-09-12,Lyft,395.41,Transport
2023-09-12,TechCorp Salary,3348.78,Income
2023-09-12,Postmates,342.4,Food Delivery
2023-09-13,City Parking,65.37,Transport
2023-09-14,Postmates,298.45,Food Delivery
2023-09-14,Dental Care,251.54,Healthcare
2023-09-15,Local Gym,237.05,Entertainment
2023-09-15,Amazon,299.38,Shopping
2023-09-15,TechCorp Salary,2800.15,Income
2023-09-16,Studio Rental,1796.64,Rent
2023-09-16,Train Ticket,9.95,Transport
2023-09-16,Apple TV+,369.59,Subscription
2023-09-16,Electric Bill,193.21,Utilities
2023-09-17,DoorDash,418.48,Food Delivery
2023-09-17,Movie Theater,331.45,Entertainment
2023-09-17,Amazon,191.84,Shopping
2023-09-17,Market Basket,125.23,Groceries
2023-09-18,Train Ticket,287.03,Transport
2023-09-18,Apartment Lease,2214.54,Rent
2023-09-19,Bowling Alley,346.9,Entertainment
2023-09-20,Disney+ Amazon Prime,117.22,Subscription
2023-09-20,Pharmacy,120.8,Healthcare
2023-09-20,Internet Subscription,464.84,Utilities
2023-09-20,Spotify,106.55,Subscription
2023-09-21,Monthly Rent Payment,1674.48,Rent
2023-09-21,Best Buy,332.16,Shopping
2023-09-22,Monthly Rent Payment,2292.83,Rent
2023-09-23,Concert Venue,361.9,Entertainment
2023-09-23,Stock Dividend,7151.14,Income
2023-09-23,Insurance Premium,116.15,Healthcare
2023-09-24,Whole Foods,102.96,Groceries
2023-09-24,Stock Dividend,2387.95,Income
2023-09-25,Uber,112.7,Transport
2023-09-26,Starbucks,317.46,Dining
2023-09-26,Internet Subscription,462.37,Utilities
2023-09-27,Stater Bros,94.19,Groceries
2023-09-28,Chipotle,222.36,Dining
2023-09-28,Local Bistro,194.39,Dining
2023-09-28,Dell Store,452.54,Electronics
2023-09-28,City Parking,134.55,Transport
2023-09-28,Whole Foods,151.25,Groceries
2023-09-29,Apartment Lease,2411.93,Rent
2023-09-29,Whole Foods,148.43,Groceries
2023-09-29,Concert Venue,231.18,Entertainment
2023-10-01,Insurance Premium,115.38,Healthcare
2023-10-01,Walmart,495.69,Shopping
2023-10-02,Apple Store,390.93,Electronics
2023-10-02,Disney+ Amazon Prime,375.29,Subscription
2023-10-02,Spotify,81.79,Subscription
2023-10-03,Studio Rental,1134.88,Rent
2023-10-03,Pharmacy,282.14,Healthcare
2023-10-04,Olive Garden,31.69,Dining
2023-10-04,Postmates,101.85,Food Delivery
2023-10-04,Apartment Lease,1965.34,Rent
2023-10-05,Insurance Premium,134.35,Healthcare
2023-10-05,Monthly Rent Payment,1346.27,Rent
2023-10-05,Disney+ Amazon Prime,311.34,Subscription
2023-10-06,Amazon,449.95,Shopping
2023-10-06,Insurance Premium,456.52,Healthcare
2023-10-07,Monthly Rent Payment,2318.2,Rent
2023-10-07,Insurance Premium,418.41,Healthcare
2023-10-08,Stater Bros,293.44,Groceries
2023-10-08,Disney+ Amazon Prime,228.89,Subscription
2023-10-08,Safeway,15.51,Groceries
2023-10-08,Dell Store,227.45,Electronics
2023-10-09,Spotify,196.97,Subscription
2023-10-09,Apartment Lease,1423.27,Rent
2023-10-10,Uber,463.86,Transport
2023-10-10,Local Bistro,268.55,Dining
2023-10-10,Cell Phone Bill,445.53,Utilities
2023-10-10,Dell Store,60.37,Electronics
2023-10-11,Market Basket,76.16,Groceries
2023-10-11,Stock Dividend,3794.97,Income
2023-10-11,Postmates,144.68,Food Delivery
2023-10-12,Micro Center,370.35,Electronics
2023-10-14,Apple TV+,219.96,Subscription
2023-10-14,Samsung Online,86.66,Electronics
2023-10-14,Lyft,7.21,Transport
2023-10-14,Bowling Alley,315.37,Entertainment
2023-10-14,Olive Garden,487.49,Dining
2023-10-15,Dell Store,196.63,Electronics
2023-10-15,Apartment Lease,1317.84,Rent
2023-10-17,Local Gym,114.22,Entertainment
2023-10-17,Netflix,299.19,Subscription
2023-10-17,Uber,174.5,Transport
2023-10-18,Lyft,39.74,Transport
2023-10-18,Pharmacy,221.81,Healthcare
2023-10-18,Internet Subscription,121.4,Utilities
2023-10-18,Lyft,99.89,Transport
2023-10-19,Samsung Online,111.05,Electronics
2023-10-19,Best Buy,197.54,Shopping
2023-10-19,Best Buy,222.41,Shopping
2023-10-20,Bowling Alley,122.5,Entertainment
2023-10-20,Postmates,50.33,Food Delivery
2023-10-21,UberEats,154.81,Food Delivery
2023-10-21,DoorDash,125.83,Food Delivery
2023-10-22,Olive Garden,94.81,Dining
2023-10-22,Netflix,342.93,Subscription
2023-10-23,City Parking,378.03,Transport
2023-10-23,GrubHub,348.46,Food Delivery
2023-10-23,Chipotle,87.09,Dining
2023-10-23,GrubHub,267.66,Food Delivery
2023-10-24,Netflix,133.58,Subscription
2023-10-24,UberEats,175.24,Food Delivery
2023-10-24,Chipotle,150.28,Dining
2023-10-25,Samsung Online,465.59,Electronics
2023-10-25,Cell Phone Bill,24.06,Utilities
2023-10-25,Disney+ Amazon Prime,312.91,Subscription
2023-10-26,Market Basket,199.7,Groceries
2023-10-26,Studio Rental,1055.55,Rent
2023-10-27,Sushi Place,460.1,Dining
2023-10-27,Disney+ Amazon Prime,445.38,Subscription
2023-10-27,Apple TV+,298.73,Subscription
2023-10-27,Apple TV+,258.57,Subscription
2023-10-28,Starbucks,69.46,Dining
2023-10-28,Bowling Alley,88.05,Entertainment
2023-10-28,Postmates,336.29,Food Delivery
2023-10-28,Freelance Payment,6358.5,Income
2023-10-28,Train Ticket,304.01,Transport
2023-10-29,Insurance Premium,485.29,Healthcare
2023-10-30,Disney+ Amazon Prime,430.02,Subscription
2023-10-30,Insurance Premium,441.53,Healthcare
2023-10-30,UberEats,123.33,Food Delivery
2023-10-31,Disney+ Amazon Prime,456.1,Subscription
2023-10-31,Consulting Invoice,4425.58,Income
2023-11-01,Electric Bill,142.48,Utilities
2023-11-01,Amazon,17.19,Shopping
2023-11-01,Monthly Rent Payment,2472.31,Rent
2023-11-02,Market Basket,211.21,Groceries
2023-11-02,Dell Store,238.62,Electronics
2023-11-02,TechCorp Salary,3349.57,Income
2023-11-02,Internet Subscription,183.11,Utilities
2023-11-02,Postmates,421.21,Food Delivery
2023-11-03,Local Bistro,323.29,Dining
2023-11-04,Starbucks,390.77,Dining
2023-11-04,Bowling Alley,394.4,Entertainment
2023-11-04,UberEats,395.0,Food Delivery
2023-11-05,Market Basket,234.39,Groceries
2023-11-05,Freelance Payment,4416.98,Income
2023-11-05,Concert Venue,479.64,Entertainment
2023-11-06,Local Bistro,139.24,Dining
2023-11-07,Freelance Payment,2875.5,Income
2023-11-07,Sushi Place,421.99,Dining
2023-11-07,GrubHub,492.9,Food Delivery
2023-11-07,Whole Foods,337.85,Groceries
2023-11-08,Apartment Lease,1409.49,Rent
2023-11-08,Pharmacy,175.62,Healthcare
2023-11-09,Studio Rental,1615.76,Rent
2023-11-10,Doctor Visit,65.23,Healthcare
2023-11-10,Postmates,446.61,Food Delivery
2023-11-10,Starbucks,473.93,Dining
2023-11-11,Water Utility,407.77,Utilities
2023-11-11,Samsung Online,274.88,Electronics
2023-11-11,Studio Rental,1851.57,Rent
2023-11-12,Target,202.19,Shopping
2023-11-12,Sushi Place,375.63,Dining
2023-11-12,Insurance Premium,388.52,Healthcare
2023-11-13,Amazon,497.56,Shopping
2023-11-13,Studio Rental,1811.43,Rent
2023-11-14,Local Gym,219.35,Entertainment
2023-11-15,Train Ticket,280.09,Transport
2023-11-15,Movie Theater,288.29,Entertainment
2023-11-16,Chipotle,163.64,Dining
2023-11-16,Studio Rental,1132.5,Rent
2023-11-16,Whole Foods,442.09,Groceries
2023-11-16,Consulting Invoice,3392.06,Income
2023-11-17,Stock Dividend,6507.41,Income
2023-11-17,Netflix,252.29,Subscription
2023-11-18,Micro Center,96.2,Electronics
2023-11-18,Freelance Payment,7077.43,Income
2023-11-19,Market Basket,280.66,Groceries
2023-11-20,Macy's,128.17,Shopping
2023-11-20,Postmates,96.06,Food Delivery
2023-11-20,Disney+ Amazon Prime,347.7,Subscription
2023-11-21,Movie Theater,392.81,Entertainment
2023-11-21,Shell Gas Station,477.13,Transport
2023-11-22,Bowling Alley,202.45,Entertainment
2023-11-22,Disney+ Amazon Prime,125.52,Subscription
2023-11-22,Apartment Lease,1054.29,Rent
2023-11-22,Uber,39.56,Transport
2023-11-23,DoorDash,117.92,Food Delivery
2023-11-23,Target,252.97,Shopping
2023-11-23,Uber,13.54,Transport
2023-11-23,Netflix,145.87,Subscription
2023-11-23,Amazon,283.87,Shopping
2023-11-23,Cell Phone Bill,189.64,Utilities
2023-11-24,TechCorp Salary,2881.11,Income
2023-11-24,Best Buy,347.48,Shopping
2023-11-24,TechCorp Salary,5738.96,Income
2023-11-24,Freelance Payment,5248.88,Income
2023-11-24,Target,480.32,Shopping
2023-11-25,Samsung Online,106.95,Electronics
2023-11-25,Samsung Online,420.61,Electronics
2023-11-25,Freelance Payment,4150.03,Income
2023-11-25,Trader Joes,451.63,Groceries
2023-11-26,Monthly Rent Payment,1453.59,Rent
2023-11-26,Stock Dividend,4464.75,Income
2023-11-28,Stock Dividend,7835.75,Income
2023-11-28,UberEats,236.1,Food Delivery
2023-11-29,City Parking,64.21,Transport
2023-11-29,Starbucks,125.0,Dining
2023-11-29,DoorDash,65.82,Food Delivery
2023-11-29,UberEats,334.03,Food Delivery
2023-11-29,Target,34.37,Shopping
2023-11-29,Dental Care,141.87,Healthcare
2023-11-29,Trader Joes,299.75,Groceries
2023-11-30,Micro Center,387.58,Electronics
2023-11-30,Amazon,397.79,Shopping
2023-11-30,Netflix,101.74,Subscription
2023-12-01,Best Buy,99.27,Shopping
2023-12-02,Trader Joes,309.38,Groceries
2023-12-02,Apartment Lease,1737.8,Rent
2023-12-02,Consulting Invoice,7446.05,Income
2023-12-03,Dell Store,215.39,Electronics
2023-12-03,Spotify,346.08,Subscription
2023-12-04,Consulting Invoice,7236.53,Income
2023-12-04,Best Buy,497.75,Shopping
2023-12-05,Target,459.73,Shopping
2023-12-07,Lyft,39.83,Transport
2023-12-07,Apartment Lease,1443.48,Rent
2023-12-07,Freelance Payment,2614.25,Income
2023-12-07,Chipotle,484.2,Dining
2023-12-07,TechCorp Salary,5222.92,Income
2023-12-08,Shell Gas Station,202.85,Transport
2023-12-08,Consulting Invoice,2501.95,Income
2023-12-08,Local Bistro,33.01,Dining
2023-12-08,Apartment Lease,2266.56,Rent
2023-12-09,Stock Dividend,2093.67,Income
2023-12-09,Postmates,379.95,Food Delivery
2023-12-11,Micro Center,255.24,Electronics
2023-12-12,Uber,492.78,Transport
2023-12-12,Spotify,121.18,Subscription
2023-12-12,Trader Joes,226.44,Groceries
2023-12-12,Stater Bros,493.7,Groceries
2023-12-13,Spotify,201.98,Subscription
2023-12-13,Water Utility,219.24,Utilities
2023-12-13,GrubHub,73.09,Food Delivery
2023-12-15,Olive Garden,143.92,Dining
2023-12-15,Studio Rental,1389.43,Rent
2023-12-15,Stock Dividend,5896.61,Income
2023-12-16,Doctor Visit,240.48,Healthcare
2023-12-16,Dental Care,359.12,Healthcare
2023-12-18,City Parking,308.77,Transport
2023-12-18,Concert Venue,418.22,Entertainment
2023-12-19,Local Gym,278.49,Entertainment
2023-12-19,Micro Center,372.49,Electronics
2023-12-19,Consulting Invoice,2181.12,Income
2023-12-19,Bowling Alley,318.22,Entertainment
2023-12-19,Stater Bros,381.35,Groceries
2023-12-19,Apartment Lease,1367.66,Rent
2023-12-19,Postmates,306.81,Food Delivery
2023-12-20,Bowling Alley,287.97,Entertainment
2023-12-20,Amazon,409.39,Shopping
2023-12-21,Best Buy,140.58,Shopping
2023-12-21,Chipotle,248.9,Dining
2023-12-21,Insurance Premium,445.76,Healthcare
2023-12-22,Dell Store,58.68,Electronics
2023-12-22,Postmates,149.57,Food Delivery
2023-12-23,Movie Theater,238.39,Entertainment
2023-12-23,Local Gym,24.05,Entertainment
2023-12-23,TechCorp Salary,2709.03,Income
2023-12-23,Local Gym,467.9,Entertainment
2023-12-24,Micro Center,134.2,Electronics
2023-12-24,UberEats,177.92,Food Delivery
2023-12-24,Internet Subscription,60.24,Utilities
2023-12-25,Freelance Payment,7444.67,Income
2023-12-25,Starbucks,453.93,Dining
2023-12-25,Local Bistro,410.12,Dining
2023-12-26,Disney+ Amazon Prime,122.68,Subscription
2023-12-26,Cell Phone Bill,42.89,Utilities
2023-12-26,Doctor Visit,9.8,Healthcare
2023-12-26,Movie Theater,324.32,Entertainment
2023-12-27,Local Gym,228.99,Entertainment
2023-12-27,Starbucks,242.94,Dining
2023-12-27,Insurance Premium,105.76,Healthcare
2023-12-27,Insurance Premium,358.42,Healthcare
2023-12-27,Stater Bros,77.98,Groceries
2023-12-27,Dental Care,413.13,Healthcare
2023-12-28,Disney+ Amazon Prime,57.21,Subscription
2023-12-29,Trader Joes,237.97,Groceries
2023-12-29,Local Gym,248.94,Entertainment
2023-12-29,Dental Care,391.21,Healthcare
2023-12-31,Samsung Online,192.3,Electronics
2023-12-31,Monthly Rent Payment,1964.24,Rent
2023-12-31,Electric Bill,26.1,Utilities
2024-01-01,TechCorp Salary,2696.52,Income
2024-01-01,Local Bistro,102.65,Dining
2024-01-01,Dental Care,367.78,Healthcare
2024-01-02,Freelance Payment,2155.41,Income
2024-01-02,Doctor Visit,275.62,Healthcare
2024-01-02,Consulting Invoice,3084.82,Income
2024-01-02,Studio Rental,2011.22,Rent
2024-01-03,Bowling Alley,65.56,Entertainment
2024-01-03,Spotify,435.29,Subscription
2024-01-04,Cell Phone Bill,158.45,Utilities
2024-01-04,Freelance Payment,4218.67,Income
2024-01-04,Local Gym,261.48,Entertainment
2024-01-04,Walmart,248.51,Shopping
2024-01-04,Chipotle,468.57,Dining
2024-01-04,Water Utility,450.85,Utilities
2024-01-05,Lyft,14.72,Transport
2024-01-05,Olive Garden,355.51,Dining
2024-01-05,Monthly Rent Payment,2029.89,Rent
2024-01-06,Target,220.57,Shopping
2024-01-06,Walmart,155.59,Shopping
2024-01-06,Monthly Rent Payment,1345.19,Rent
2024-01-08,Starbucks,328.95,Dining
2024-01-09,Freelance Payment,7151.25,Income
2024-01-10,Stock Dividend,5851.44,Income
2024-01-10,Lyft,190.21,Transport
2024-01-10,Market Basket,61.16,Groceries
2024-01-11,DoorDash,359.56,Food Delivery
2024-01-12,Samsung Online,129.22,Electronics
2024-01-12,Whole Foods,448.21,Groceries
2024-01-12,Micro Center,216.01,Electronics
2024-01-13,Train Ticket,402.97,Transport
2024-01-13,Trader Joes,372.09,Groceries
2024-01-13,Micro Center,34.37,Electronics
2024-01-13,Insurance Premium,397.44,Healthcare
2024-01-13,Water Utility,438.02,Utilities
2024-01-13,Dental Care,79.65,Healthcare
2024-01-13,Monthly Rent Payment,1321.25,Rent
2024-01-14,Consulting Invoice,4008.57,Income
2024-01-14,Shell Gas Station,315.56,Transport
2024-01-15,Apple TV+,68.77,Subscription
2024-01-16,Apple Store,353.81,Electronics
2024-01-16,City Parking,389.23,Transport
2024-01-16,Dell Store,344.59,Electronics
2024-01-16,Dental Care,281.08,Healthcare
2024-01-16,Monthly Rent Payment,1122.96,Rent
2024-01-17,Bowling Alley,239.12,Entertainment
2024-01-17,Chipotle,442.06,Dining
2024-01-17,Bowling Alley,100.99,Entertainment
2024-01-17,Uber,32.45,Transport
2024-01-17,Concert Venue,122.68,Entertainment
2024-01-17,Bowling Alley,142.33,Entertainment
2024-01-18,Best Buy,452.79,Shopping
2024-01-18,Local Gym,212.97,Entertainment
2024-01-18,Movie Theater,339.12,Entertainment
2024-01-18,Stock Dividend,7368.42,Income
2024-01-18,Whole Foods,134.91,Groceries
2024-01-18,Sushi Place,469.43,Dining
2024-01-18,Movie Theater,465.24,Entertainment
2024-01-19,Consulting Invoice,6665.79,Income
2024-01-19,Local Bistro,467.51,Dining
2024-01-19,Bowling Alley,372.71,Entertainment
2024-01-20,Movie Theater,80.16,Entertainment
2024-01-21,Micro Center,18.33,Electronics
2024-01-21,Netflix Premium Annual Plan,299.99,Subscription
2024-01-21,Micro Center,460.52,Electronics
2024-01-22,Water Utility,441.26,Utilities
2024-01-22,Apartment Lease,2370.65,Rent
2024-01-22,GrubHub,101.25,Food Delivery
2024-01-22,Samsung Online,173.46,Electronics
2024-01-23,Bowling Alley,463.7,Entertainment
2024-01-23,Studio Rental,2372.53,Rent
2024-01-23,Walmart,276.23,Shopping
2024-01-23,Apartment Lease,1332.27,Rent
2024-01-24,Insurance Premium,451.67,Healthcare
2024-01-24,Disney+ Amazon Prime,331.74,Subscription
2024-01-24,Insurance Premium,83.77,Healthcare
2024-01-24,Postmates,482.04,Food Delivery
2024-01-25,Trader Joes,358.54,Groceries
2024-01-25,Train Ticket,465.76,Transport
2024-01-25,Chipotle,185.26,Dining
2024-01-25,Best Buy,58.2,Shopping
2024-01-26,Water Utility,258.23,Utilities
2024-01-26,Micro Center,10.72,Electronics
2024-01-26,Cell Phone Bill,497.36,Utilities
2024-01-26,Dental Care,95.84,Healthcare
2024-01-26,Internet Subscription,188.37,Utilities
2024-01-26,Consulting Invoice,3145.43,Income
2024-01-27,Insurance Premium,427.84,Healthcare
2024-01-27,Freelance Payment,3068.3,Income
2024-01-29,Apartment Lease,1823.58,Rent
2024-01-29,Amazon,51.13,Shopping
2024-01-29,Stock Dividend,2052.15,Income
2024-01-29,City Parking,94.68,Transport
2024-01-29,Starbucks,55.81,Dining
2024-01-30,Water Utility,398.79,Utilities
2024-02-02,Doctor Visit,454.99,Healthcare
2024-02-02,Starbucks,161.17,Dining
2024-02-02,Samsung Online,486.46,Electronics
2024-02-02,Studio Rental,1323.79,Rent
2024-02-02,GrubHub,93.09,Food Delivery
2024-02-03,Pharmacy,27.29,Healthcare
2024-02-03,Shell Gas Station,116.4,Transport
2024-02-03,Bowling Alley,42.2,Entertainment
2024-02-04,Concert Venue,384.44,Entertainment
2024-02-04,DoorDash,304.04,Food Delivery
2024-02-04,Target,109.51,Shopping
2024-02-05,Water Utility,483.28,Utilities
2024-02-06,Local Gym,358.34,Entertainment
2024-02-06,Consulting Invoice,6094.87,Income
2024-02-06,Insurance Premium,434.2,Healthcare
2024-02-06,City Parking,448.95,Transport
2024-02-07,Studio Rental,2432.74,Rent
2024-02-07,Local Gym,12.22,Entertainment
2024-02-07,TechCorp Salary,5299.56,Income
2024-02-08,Freelance Payment,4037.17,Income
2024-02-08,Freelance Payment,6027.4,Income
2024-02-09,Whole Foods,391.8,Groceries
2024-02-09,Amazon,441.66,Shopping
2024-02-09,Shell Gas Station,421.17,Transport
2024-02-09,Studio Rental,1243.74,Rent
2024-02-10,Lyft,227.3,Transport
2024-02-10,Chipotle,479.97,Dining
2024-02-10,Safeway,448.77,Groceries
2024-02-10,Suspicious Wire Transfer,6901.33,Shopping
2024-02-11,Stater Bros,472.99,Groceries
2024-02-12,Cell Phone Bill,499.76,Utilities
2024-02-12,Starbucks,470.65,Dining
2024-02-12,Pharmacy,195.62,Healthcare
2024-02-12,Studio Rental,1076.55,Rent
2024-02-13,Pharmacy,461.51,Healthcare
2024-02-13,Studio Rental,2305.13,Rent
2024-02-13,Concert Venue,90.01,Entertainment
2024-02-13,Lyft,475.34,Transport
2024-02-13,Local Bistro,463.75,Dining
2024-02-14,Apartment Lease,1347.33,Rent
2024-02-14,Monthly Rent Payment,2177.37,Rent
2024-02-14,DoorDash,308.54,Food Delivery
2024-02-14,Electric Bill,334.69,Utilities
2024-02-15,Stock Dividend,2479.11,Income
2024-02-15,Apple TV+,100.5,Subscription
2024-02-15,Shell Gas Station,245.64,Transport
2024-02-15,Apple TV+,426.75,Subscription
2024-02-16,Dell Store,306.09,Electronics
2024-02-16,Macy's,460.13,Shopping
2024-02-16,Sushi Place,443.88,Dining
2024-02-16,GrubHub,10.53,Food Delivery
2024-02-16,Dental Care,263.18,Healthcare
2024-02-17,Safeway,188.14,Groceries
2024-02-17,Uber,205.97,Transport
2024-02-17,TechCorp Salary,2304.65,Income
2024-02-17,Water Utility,444.58,Utilities
2024-02-18,Postmates,78.56,Food Delivery
2024-02-20,Walmart,39.13,Shopping
2024-02-20,Monthly Rent Payment,2376.77,Rent
2024-02-21,Water Utility,403.77,Utilities
2024-02-21,Safeway,112.08,Groceries
2024-02-21,Water Utility,425.38,Utilities
2024-02-21,Olive Garden,229.54,Dining
2024-02-21,Whole Foods,297.64,Groceries
2024-02-22,Studio Rental,1278.34,Rent
2024-02-23,Doctor Visit,44.28,Healthcare
2024-02-23,DoorDash,300.72,Food Delivery
2024-02-24,Stock Dividend,2957.11,Income
2024-02-24,TechCorp Salary,7601.08,Income
2024-02-24,Target,120.19,Shopping
2024-02-24,Monthly Rent Payment,1618.3,Rent
2024-02-25,Electric Bill,463.49,Utilities
2024-02-25,Uber,276.15,Transport
2024-02-26,Netflix,147.47,Subscription
2024-02-26,Movie Theater,452.73,Entertainment
2024-02-26,Netflix,146.57,Subscription
2024-02-26,Trader Joes,314.46,Groceries
2024-02-26,Whole Foods,41.35,Groceries
2024-02-26,Internet Subscription,260.18,Utilities
2024-02-28,Postmates,145.26,Food Delivery
2024-02-28,Studio Rental,1563.34,Rent
2024-02-29,Doctor Visit,443.21,Healthcare
2024-02-29,UberEats,235.8,Food Delivery
2024-02-29,DoorDash,477.27,Food Delivery
2024-03-01,Electric Bill,279.09,Utilities
2024-03-01,Monthly Rent Payment,1788.15,Rent
2024-03-02,Uber,216.83,Transport
2024-03-02,Studio Rental,1377.35,Rent
2024-03-02,Dell Store,73.42,Electronics
2024-03-03,GrubHub,470.67,Food Delivery
2024-03-03,Water Utility,158.06,Utilities
2024-03-03,DoorDash,227.19,Food Delivery
2024-03-03,Whole Foods,343.7,Groceries
2024-03-03,Bowling Alley,386.19,Entertainment
2024-03-03,Freelance Payment,3672.62,Income
2024-03-04,Movie Theater,363.89,Entertainment
2024-03-04,Doctor Visit,121.82,Healthcare
2024-03-04,DoorDash,429.1,Food Delivery
2024-03-04,UberEats,293.21,Food Delivery
2024-03-04,Olive Garden,82.66,Dining
2024-03-05,Apple Store,399.97,Electronics
2024-03-05,Amazon,164.53,Shopping
2024-03-05,Olive Garden,329.66,Dining
2024-03-06,Movie Theater,39.04,Entertainment
2024-03-06,Apple Store,350.59,Electronics
2024-03-06,City Parking,15.08,Transport
2024-03-06,Dell Store,151.26,Electronics
2024-03-06,Monthly Rent Payment,1793.97,Rent
2024-03-06,Dental Care,173.87,Healthcare
2024-03-06,Freelance Payment,5855.59,Income
2024-03-07,Apple TV+,332.78,Subscription
2024-03-08,Concert Venue,340.1,Entertainment
2024-03-09,Starbucks,34.34,Dining
2024-03-09,Local Gym,144.06,Entertainment
2024-03-09,Best Buy,68.73,Shopping
2024-03-10,UberEats,366.01,Food Delivery
2024-03-10,Insurance Premium,186.22,Healthcare
2024-03-10,GrubHub,304.3,Food Delivery
2024-03-10,Studio Rental,1699.0,Rent
2024-03-10,Internet Subscription,200.41,Utilities
2024-03-11,Stock Dividend,2035.11,Income
2024-03-11,Olive Garden,119.87,Dining
2024-03-11,Cell Phone Bill,363.02,Utilities
2024-03-11,Train Ticket,121.84,Transport
2024-03-12,UberEats,409.77,Food Delivery
2024-03-12,Safeway,68.77,Groceries
2024-03-12,Electric Bill,415.69,Utilities
2024-03-13,Monthly Rent Payment,2093.97,Rent
2024-03-13,Macy's,393.19,Shopping
2024-03-13,TechCorp Salary,3489.99,Income
2024-03-14,Spotify,334.04,Subscription
2024-03-14,Electric Bill,401.08,Utilities
2024-03-14,Spotify,359.02,Subscription
2024-03-14,Chipotle,436.13,Dining
2024-03-14,Local Gym,187.01,Entertainment
2024-03-15,Local Gym,400.6,Entertainment
2024-03-15,Electric Bill,383.44,Utilities
2024-03-15,Stater Bros,320.99,Groceries
2024-03-16,Dell Store,242.62,Electronics
2024-03-16,Safeway,383.82,Groceries
2024-03-17,Micro Center,319.72,Electronics
2024-03-17,Shell Gas Station,316.7,Transport
2024-03-17,Bowling Alley,79.99,Entertainment
2024-03-17,Postmates,180.05,Food Delivery
2024-03-17,Safeway,164.02,Groceries
2024-03-18,Train Ticket,118.46,Transport
2024-03-19,Dell Store,288.63,Electronics
2024-03-19,Doctor Visit,355.12,Healthcare
2024-03-19,Whole Foods,432.4,Groceries
2024-03-19,Dental Care,407.56,Healthcare
2024-03-19,Pharmacy,379.49,Healthcare
2024-03-20,Netflix,496.3,Subscription
2024-03-20,TechCorp Salary,7239.9,Income
